rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss
33.6875,500.0,2,16384,1,5486,,,,,,,,,,
32.109375,500.0,10,32768,2,3232,0.0333251953125,0.1,0.00039207935333251953,1459.891845703125,0.0005,0.0013067985,5,-0.6916272204369307,-0.0009336023939795268,16120.611511230469
32.729166666666664,500.0,17,49152,3,2867,0.04525146484375,0.1,0.048212289810180664,794.8429565429688,0.0005,0.0014446412,10,-0.69022301947698,-0.00038445502177637537,6139.356617546082
34.67,500.0,24,65536,4,2648,0.13763427734375,0.1,0.5876691043376923,22.316640853881836,0.0005,0.0027671785,15,-0.6840615818277002,-0.005655674731497129,327.3353161275387
36.09,500.0,32,81920,5,2498,0.21304931640625,0.1,0.738823801279068,5.883975982666016,0.0005,0.003539824,20,-0.6777857831213623,-0.008103340128764102,221.6184694290161
32.91,500.0,39,98304,6,2457,0.22574462890625,0.1,0.9124092534184456,1.4329277276992798,0.0005,0.0034944783,25,-0.671091282228008,-0.011658407780669223,27.082292302697898
30.15,500.0,47,114688,7,2426,0.1977294921875,0.1,0.9543204978108406,1.645301103591919,0.0005,0.0033298237,30,-0.6632246016059071,-0.011757561250124126,16.472208857908846
29.45,500.0,54,131072,8,2407,0.18250732421875,0.1,0.9616777077317238,1.3622313737869263,0.0005,0.0032736477,35,-0.6533663331530988,-0.009783643008177023,12.531279149651528
32.48,500.0,61,147456,9,2389,0.18824462890625,0.1,0.9704157821834087,0.6259003281593323,0.0005,0.0039992756,40,-0.64440204706043,-0.007276842556711927,9.09881885908544
41.69,500.0,68,163840,10,2386,0.18863525390625,0.1,0.9763251934200525,0.6479832530021667,0.0005,0.0037949588,45,-0.6307025494519621,-0.0077676705275735005,7.552119979262352
57.26,500.0,75,180224,11,2376,0.1892578125,0.1,0.9766631964594126,0.3530787229537964,0.0005,0.0042219493,50,-0.6180892833974212,-0.005666717604162841,6.709257609583437
71.77,500.0,82,196608,12,2383,0.1768798828125,0.1,0.9817755855619907,0.25274601578712463,0.0005,0.0035218773,55,-0.6104468176607043,-0.004345594086044002,5.034942276403308
94.63,500.0,89,212992,13,2378,0.17196044921875,0.1,0.9836668204516172,0.13795170187950134,0.0005,0.0034324862,60,-0.6012936024460942,-0.0033184859494213015,5.0412364221178
109.17,500.0,97,229376,14,2359,0.16727294921875,0.1,0.9884683322161436,0.48232460021972656,0.0005,0.003265446,65,-0.5912671632133424,-0.004371625896419573,4.20703503023833
126.15,500.0,104,245760,15,2349,0.18424072265625,0.1,0.9853205233812332,0.4397711157798767,0.0005,0.003317417,70,-0.5969179833773524,-0.002916913790795661,3.565305286832154
135.82,500.0,111,262144,16,2344,0.2128173828125,0.1,0.9882091861218214,0.09232844412326813,0.0005,0.0043278653,75,-0.586157666798681,-0.004007393027131911,3.383223606646061
162.38,500.0,118,278528,17,2343,0.24114990234375,0.1,0.9868353744968772,0.13257157802581787,0.0005,0.004370739,80,-0.5811544902157039,-0.002887390426803904,3.125512433424592
209.34,500.0,126,294912,18,2334,0.24556884765625,0.1,0.9878918677568436,0.1030755490064621,0.0005,0.0052496092,85,-0.5480740099912509,-0.0034295424520678353,2.436178892618045
285.97,500.0,133,311296,19,2333,0.23126220703125,0.1,0.9852812504395843,0.19701647758483887,0.0005,0.004656313,90,-0.5244752435944975,-0.0030759282048165915,2.0751851298147814
366.13,500.0,140,327680,20,2335,0.188232421875,0.1,0.9833294805139303,0.4834658205509186,0.0005,0.0051442916,95,-0.46648877509869635,-0.0015667686220695032,1.2928266407921911
445.76,500.0,147,344064,21,2339,0.15126953125,0.1,0.9683712311089039,0.07918728142976761,0.0005,0.003455953,100,-0.4468279536115006,-0.002669471871377027,0.770906953071244
471.48,500.0,154,360448,22,2339,0.1612548828125,0.1,0.9640611857175827,0.0943840891122818,0.0005,0.004183557,105,-0.42716935717035087,-0.0026270123761605647,0.898942669009557
485.73,500.0,161,376832,23,2327,0.14036865234375,0.1,0.9666734375059605,0.03951668739318848,0.0005,0.004366697,110,-0.3949636335019022,-0.0018666419460714677,0.5613935986359138
497.39,500.0,168,393216,24,2329,0.09356689453125,0.1,0.97823984362185,0.09859389811754227,0.0005,0.002985398,115,-0.3552848875988275,-0.0013240400519862305,0.37154347365431023
498.76,500.0,175,409600,25,2331,0.107958984375,0.1,0.9793713036924601,0.05300618335604668,0.0005,0.0030325386,120,-0.3376329218270257,-0.0008755427219512057,0.47800317259388975
499.82,500.0,183,425984,26,2324,0.10452880859375,0.1,0.9828568175435066,-0.0018652938306331635,0.0005,0.0024792636,125,-0.3030627557192929,-0.0007586772138893138,0.3273597094346769
500.0,500.0,190,442368,27,2322,0.0767822265625,0.1,0.9891296559944749,0.015786105766892433,0.0005,0.0021955348,130,-0.2712779860012233,-0.0011727770617653733,0.20538882006221684
500.0,500.0,197,458752,28,2323,0.09019775390625,0.1,0.9927960778586566,0.006062204018235207,0.0005,0.003490097,135,-0.24309590848861262,-0.0014240016318581184,0.16435508250287967
500.0,500.0,204,475136,29,2322,0.07447509765625,0.1,0.993876944296062,0.014620044268667698,0.0005,0.002388427,140,-0.2363023619633168,-0.0002341786856050021,0.14320431140076834
500.0,500.0,211,491520,30,2321,0.07906494140625,0.1,0.9924735557287931,0.0014856429770588875,0.0005,0.0018212149,145,-0.2305703983292915,0.0008442015638138401,0.19125796511361842
