time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates
267,500.0,496.97,1899,507904,31,0.003166214795783162,-0.2507477746112272,0.0010407940613731625,0.0032418619924669658,0.0016305222,0.9895958723500371,0.0005,0.1,0.0705810546875,150
275,500.0,496.39,1901,524288,32,0.007628954015672207,-0.2513872081763111,0.0008416837631102681,0.0037886095266912887,0.0017412498,0.9885912453755736,0.0005,0.1,0.07109375,155
284,500.0,493.09,1901,540672,33,0.023053286597132683,-0.2472255818778649,0.001117452210155534,0.004559703371785418,0.0012416795,0.984609380364418,0.0005,0.1,0.0614990234375,160
292,500.0,493.38,1901,557056,34,-0.004098073113709688,-0.24152358282590286,0.0008881146538442409,0.003161405619277957,0.0013703598,0.9902305956929922,0.0005,0.1,0.063427734375,165
301,500.0,493.82,1900,573440,35,0.0013359901495277882,-0.23700728487456219,0.0008134081620482902,0.004001411684419054,0.0018318342,0.9857344422489405,0.0005,0.1,0.0653564453125,170
310,500.0,497.41,1901,589824,36,-0.005624103359878063,-0.2409859685692936,0.0005380673925174051,0.005745514906629978,0.0023426632,0.9760637916624546,0.0005,0.1,0.0801513671875,175
318,500.0,498.49,1902,606208,37,0.004366767127066851,-0.2260028818855062,0.001079768820204663,0.004385288932087406,0.0016814175,0.9823736045509577,0.0005,0.1,0.0735107421875,180
327,500.0,497.32,1902,622592,38,0.012384963221848011,-0.2340371724916622,0.0010801007079862756,0.004818893085962372,0.0012917295,0.9817933943122625,0.0005,0.1,0.06422119140625,185
335,500.0,496.63,1902,638976,39,0.0039205350913107395,-0.2241524744546041,0.0012251869080046162,0.004287940270012313,0.001241053,0.9841130916029215,0.0005,0.1,0.0631103515625,190
344,500.0,496.37,1903,655360,40,-0.0020052269101142883,-0.22619527898496017,0.0010047468511402257,0.004518327773143938,0.0013437341,0.9834026917815208,0.0005,0.1,0.0591552734375,195
352,500.0,498.03,1904,671744,41,0.0037141626235097647,-0.22995974719524384,0.001101193796057487,0.00564131546899489,0.0010667187,0.9764402732253075,0.0005,0.1,0.06356201171875,200
360,500.0,499.16,1907,688128,42,-0.00161526701413095,-0.22369589048903435,0.0011641303278338456,0.006283605301257466,0.0011157116,0.9733674339950085,0.0005,0.1,0.0659912109375,205
368,500.0,499.43,1911,704512,43,0.0091985072940588,-0.2223375627421774,0.0011368205159214995,0.006835583089400643,0.0013613608,0.9698318187147379,0.0005,0.1,0.05523681640625,210
376,500.0,498.86,1915,720896,44,-0.0003790626651607454,-0.21371035077027045,0.001230831647717423,0.0062841452401016795,0.0012917899,0.9715825021266937,0.0005,0.1,0.0583984375,215
384,500.0,499.23,1918,737280,45,-0.003540557809174061,-0.2122398522507865,0.0012975911426110543,0.007013362412089918,0.0013385604,0.9689449910074472,0.0005,0.1,0.06741943359375,220
392,500.0,499.23,1921,753664,46,-0.006875575985759497,-0.2127388414402958,0.0012640555091820715,0.0063074889650806655,0.0012609202,0.9715118613094091,0.0005,0.1,0.06016845703125,225
