rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss
500.0,2126,161,500.0,21,344064,0.0115725665024911,0.0642333984375,-0.3028296110453084,100,0.0020299642346799374,0.0005,0.0019721927,0.8960369601845741,0.1,-0.0009191238304993021
500.0,2126,169,500.0,22,360448,0.014658079790524425,0.04447021484375,-0.2972290779114701,105,-0.0015851978678256273,0.0005,0.0012607507,0.863992229104042,0.1,-0.00029237737153380293
500.0,2127,177,500.0,23,376832,0.012782213982154645,0.05701904296875,-0.2734791859169491,110,-0.0037733507342636585,0.0005,0.001924538,0.8619658350944519,0.1,-0.0007555542823865835
500.0,2129,184,500.0,24,393216,0.01114784150199739,0.06356201171875,-0.26748962631681933,115,-0.0011956550879403949,0.0005,0.0017036311,0.864660307765007,0.1,-0.00023882572686488855
500.0,2130,192,500.0,25,409600,0.011239686262206306,0.08336181640625,-0.25128834957722573,120,0.003504869993776083,0.0005,0.005170143,0.8608269095420837,0.1,-0.0006182243311741332
500.0,2126,200,500.0,26,425984,0.010625761124492783,0.06063232421875,-0.2534483903902583,125,4.090252332389355e-05,0.0005,0.0020062614,0.832008108496666,0.1,2.0900842446280877e-05
500.0,2127,207,500.0,27,442368,0.011183476080532273,0.0506591796875,-0.24881699297111481,130,0.0002622082829475403,0.0005,0.0011536386,0.8254671096801758,0.1,0.000428911248127406
500.0,2128,215,500.0,28,458752,0.01169093421353864,0.070703125,-0.24649317000294105,135,0.0002620111918076873,0.0005,0.0015218079,0.8452992737293243,0.1,-0.00021974879364279333
500.0,2129,223,500.0,29,475136,0.011868943090689754,0.0571044921875,-0.2509307176573202,140,-0.004951390903443098,0.0005,0.0010587912,0.8302020877599716,0.1,0.0006352422295094584
500.0,2127,230,500.0,30,491520,0.010082334529079163,0.06177978515625,-0.24822221832582728,145,0.003984628710895777,0.0005,0.0009191249,0.8268882632255554,0.1,0.00016796815261841403
500.0,2127,238,500.0,31,507904,0.0121176585164676,0.06226806640625,-0.24017888150410727,150,0.005513496231287718,0.0005,0.0015549827,0.7952082306146622,0.1,0.00013700265376428433
