time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction
540672,500.0,33,2018,267,222.12,0.0005,0.0017699631862342358,0.013025981899863837,160,0.1,0.9805827420204878,0.0007855613393076055,-0.18998840462299996,0.0015012065,0.0620849609375
557056,500.0,34,2014,276,221.41,0.0005,-0.001116385916247964,0.01127812146423821,165,0.1,0.9827348813414574,0.0015086363620866905,-0.18530126437544822,0.0013426216,0.06363525390625
573440,500.0,35,2014,284,223.11,0.0005,-0.014583179727196693,0.009898986530151888,170,0.1,0.9859996475279331,0.0012085654932889156,-0.18359162197448314,0.0013779227,0.06246337890625
589824,500.0,36,2014,292,222.34,0.0005,0.005137917120009661,0.00820080972989672,175,0.1,0.9877443313598633,0.0011957136356613774,-0.1767979910422582,0.0012379284,0.0591796875
606208,500.0,37,2008,301,222.09,0.0005,-0.003969835117459297,0.009155360292697878,180,0.1,0.9856019467115402,0.000947912617084512,-0.17593478360213338,0.0010447293,0.0531005859375
622592,500.0,38,2006,310,221.94,0.0005,-0.003005372593179345,0.008722440335986903,185,0.1,0.9863698882982135,0.0010499783792511153,-0.1679484879481606,0.001418709,0.05318603515625
638976,500.0,39,2006,318,225.41,0.0005,0.002100312616676092,0.009582048026459233,190,0.1,0.9858329705893993,0.001237969838985009,-0.17499236207222565,0.0011489983,0.0572509765625
655360,500.0,40,2003,327,228.45,0.0005,0.0017922035185620189,0.010049428106049163,195,0.1,0.9835761897265911,0.0014229089711079723,-0.16543736493913458,0.0015253788,0.0585205078125
671744,500.0,41,1993,336,229.51,0.0005,-0.0012669434072449803,0.009108961159836327,200,0.1,0.9846152560785413,0.0010286053661729966,-0.1660340486210771,0.001138524,0.0520263671875
688128,500.0,42,1988,346,231.77,0.0005,0.0012573410058394074,0.010633133747023748,205,0.1,0.9828561078757048,0.0017879012648336357,-0.16589380665682257,0.0015325246,0.06839599609375
704512,500.0,43,1982,355,231.02,0.0005,-0.008230213075876236,0.01023968227000296,210,0.1,0.9828260652720928,0.0010731328981819388,-0.16479313157615252,0.001050403,0.05673828125
