time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/loss
25,2290,409600,500.0,178,24.74,0.07611083984375,0.8900963664054871,-0.196689340705052,0.00256249105354982,0.1,120,0.004638176,0.0005,3.9862668165558715,0.3968753516674042
26,2292,425984,500.0,185,24.58,0.06893310546875,0.8747720569372177,-0.18349199031363242,0.0018973803692460933,0.1,125,0.0053172726,0.0005,2.6125132048269735,0.08049256354570389
27,2288,442368,500.0,193,24.25,0.09437255859375,0.8844784647226334,-0.1533287821803242,0.00199367109044033,0.1,130,0.011914292,0.0005,2.330207606157637,0.24688437581062317
28,2285,458752,500.0,200,23.73,0.0528076171875,0.9320275783538818,-0.14508785268408247,0.002742719958814632,0.1,135,0.0016882846,0.0005,3.8573370394442463,1.0106545686721802
29,2278,475136,500.0,208,23.9,0.06280517578125,0.9071958661079407,-0.11690168446511962,0.0026086573832344584,0.1,140,0.012860833,0.0005,2.9176677349285454,0.12087174504995346
30,2276,491520,500.0,215,24.25,0.055615234375,0.9279271811246872,-0.12027545741875656,0.0033971887300140225,0.1,145,0.0022938391,0.0005,3.660391625284683,0.15864619612693787
31,2270,507904,500.0,223,24.76,0.0788818359375,0.9298620969057083,-0.11579245947941672,0.006791983195489593,0.1,150,0.015350887,0.0005,3.700703376140882,1.0909689664840698
32,2264,524288,500.0,231,24.41,0.06455078125,0.9279806092381477,-0.13732588835409842,0.0027591680212026405,0.1,155,0.0033975465,0.0005,4.641689160148962,0.38290247321128845
33,2258,540672,500.0,239,24.15,0.05299072265625,0.9333841130137444,-0.14741873908205888,0.0025784150505387517,0.1,160,0.0027002268,0.0005,4.742759681743337,0.11921979486942291
34,2257,557056,500.0,246,24.39,0.06439208984375,0.9417760521173477,-0.13051319317310117,0.00428706449697529,0.1,165,0.005706195,0.0005,3.042560669161321,0.3158343732357025
35,2251,573440,500.0,254,24.7,0.05706787109375,0.9387699514627457,-0.1361261967336759,0.004209829152023304,0.1,170,0.007816931,0.0005,5.622450815752382,0.09784974902868271
36,2246,589824,500.0,262,25.22,0.05518798828125,0.8988031968474388,-0.1573126036382746,0.0026336791568610353,0.1,175,0.0021484294,0.0005,7.425089779068367,0.6188931465148926
37,2238,606208,500.0,270,25.34,0.05186767578125,0.9282899424433708,-0.1570481480099261,0.0026850723546886003,0.1,180,0.0049081496,0.0005,5.5207729174202544,0.696714460849762
38,2232,622592,500.0,278,24.91,0.0780029296875,0.9106566160917282,-0.15883965175016784,0.004018401009216177,0.1,185,0.0016130412,0.0005,2.723900323230191,0.15890058875083923
39,2234,638976,500.0,285,23.83,0.06746826171875,0.9054834172129631,-0.14014735089731403,0.0028552522146128466,0.1,190,0.0063359747,0.0005,3.160806144500384,0.28461551666259766
40,2227,655360,500.0,294,22.99,0.07149658203125,0.8703343123197556,-0.0992348618194228,0.003046164415354724,0.1,195,0.016929887,0.0005,2.128313753264956,0.6183015704154968
41,2213,671744,500.0,303,22.62,0.05322265625,0.8240523487329483,-0.07691448629338993,0.001308507269823167,0.1,200,0.015643638,0.0005,1.7347842440227397,0.15233902633190155
42,2214,688128,500.0,310,23.09,0.04466552734375,0.9024416953325272,-0.0698504981395672,0.0021080567210447045,0.1,205,0.006711829,0.0005,2.104176671447931,0.022427590563893318
43,2215,704512,500.0,317,22.86,0.02109375,0.9366574212908745,-0.07241354526631767,0.003599037998355925,0.1,210,0.0042147506,0.0005,5.335468252736609,0.061331938952207565
