rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
500.0,151,327680,2164,20,16.31,0.010339773,0.002340982382429502,0.1661754548549652,0.0005,-0.4197349498979747,8.604989936901257,0.1607177734375,0.8864635303616524,95,0.1
500.0,158,344064,2165,21,15.7,0.0027957405,0.0030874229120399833,0.2526799142360687,0.0005,-0.41564391038846227,6.3831490584765564,0.1578857421875,0.8743306249380112,100,0.1
500.0,166,360448,2165,22,15.61,0.0030308631,0.0023886422652140025,1.7379240989685059,0.0005,-0.40386509106028823,8.168539479887112,0.13978271484375,0.8576151132583618,105,0.1
500.0,174,376832,2163,23,15.54,0.009960464,0.0026364387647845435,0.3859297037124634,0.0005,-0.39009109120815993,4.98276660455158,0.14959716796875,0.8727806061506271,110,0.1
500.0,182,393216,2157,24,15.52,0.008357664,0.0014803733734879642,0.44086596369743347,0.0005,-0.36469616810791194,5.379635831783526,0.12579345703125,0.8602041006088257,115,0.1
500.0,190,409600,2151,25,15.38,0.014062647,0.0030588100695240427,0.03000466898083687,0.0005,-0.3505066027981229,5.033717597858049,0.155322265625,0.8792623728513718,120,0.1
500.0,198,425984,2144,26,14.98,0.017970871,0.0029600377767565076,0.5451231002807617,0.0005,-0.341327670076862,5.6041564852232115,0.15557861328125,0.9064071178436279,125,0.1
500.0,206,442368,2139,27,14.79,0.0051743584,0.0018269043683176278,0.36962246894836426,0.0005,-0.337260569317732,7.648907713638619,0.12022705078125,0.9047733768820763,130,0.1
500.0,214,458752,2135,28,14.61,0.015029348,0.0032322188077159807,0.07415536046028137,0.0005,-0.33436945610446855,10.704977751069237,0.142431640625,0.9015780612826347,135,0.1
500.0,223,475136,2128,29,14.99,0.014048352,0.0033918254572199657,0.0946003720164299,0.0005,-0.3159524325747043,13.203620049462188,0.1426025390625,0.8944045975804329,140,0.1
500.0,231,491520,2125,30,15.37,0.010194829,0.006223388010130293,0.5232588052749634,0.0005,-0.3051184898475185,9.63802794034127,0.17882080078125,0.902385987341404,145,0.1
500.0,239,507904,2120,31,15.63,0.010748821,0.00293039564467108,0.33268019556999207,0.0005,-0.3015865398105234,13.009799424232915,0.1171630859375,0.909795269370079,150,0.1
500.0,247,524288,2117,32,15.83,0.0068513905,0.0034815917117157367,0.49358275532722473,0.0005,-0.2915192132815719,10.649876352469438,0.128564453125,0.9000269547104836,155,0.1
500.0,255,540672,2114,33,15.73,0.0047165863,0.004748311692583229,2.197007894515991,0.0005,-0.27974573862738905,7.111611054872628,0.14478759765625,0.9103681072592735,160,0.1
500.0,263,557056,2115,34,15.53,0.0032584865,0.006868236300579156,2.6431968212127686,0.0005,-0.28148791325511413,11.105160523985978,0.1215087890625,0.9109073430299759,165,0.1
500.0,270,573440,2117,35,15.14,0.004815537,0.003893186132336268,0.4291144013404846,0.0005,-0.2616326287505217,8.922769491851795,0.10018310546875,0.9113585203886032,170,0.1
500.0,278,589824,2120,36,14.95,0.009294371,0.00750399212101911,0.12486618757247925,0.0005,-0.24571298006922007,3.673953746550251,0.15882568359375,0.8701234459877014,175,0.1
500.0,285,606208,2122,37,14.62,0.012182009,0.004666241608993005,0.7432646155357361,0.0005,-0.25935893340501937,7.357341889187228,0.10721435546875,0.9313133433461189,180,0.1
500.0,293,622592,2123,38,14.3,0.0069831754,0.004125088241744379,0.5318317413330078,0.0005,-0.2568019458441995,6.497668721259106,0.12996826171875,0.9213279634714127,185,0.1
500.0,300,638976,2123,39,14.07,0.004549765,0.0051737826790485995,0.7398642897605896,0.0005,-0.22676859259372578,6.19731138930656,0.088916015625,0.9294489547610283,190,0.1
500.0,308,655360,2123,40,14.2,0.0067472025,0.004514270011713961,0.20718057453632355,0.0005,-0.22367529562907293,5.739650692569557,0.1115966796875,0.9272214397788048,195,0.1
500.0,316,671744,2119,41,14.38,0.002011246,0.0026663577709314266,1.5636208057403564,0.0005,-0.23066665069200099,7.637650081439642,0.08350830078125,0.9311604872345924,200,0.1
500.0,325,688128,2116,42,14.63,0.010749994,0.005138689123941731,1.5332733392715454,0.0005,-0.2340186647255905,6.024021341680782,0.11160888671875,0.9280730932950974,205,0.1
500.0,333,704512,2114,43,14.75,0.021140635,0.0030600338893236765,0.21167787909507751,0.0005,-0.2310302676865831,7.193756544264033,0.11087646484375,0.9248857423663139,210,0.1
