time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/loss,train/n_updates,train/clip_fraction
16384,31.3125,1,500.0,5183,3,,,,,,,,,,
32768,31.453125,2,500.0,2995,10,-0.0002602475976345886,0.0012956692,0.1,0.0005,27037.62969055176,-0.6917558300308884,0.004864811897277832,2565.460693359375,5,0.0430908203125
49152,30.354166666666668,3,500.0,2634,18,-0.0010211654060185537,0.0020445422,0.1,0.0005,19904.191947174073,-0.689593049744144,0.08095276355743408,1107.908935546875,10,0.051904296875
65536,32.48,4,500.0,2461,26,-0.000427426045644097,0.0012889379,0.1,0.0005,76336.94244689941,-0.6885456867516041,0.08203595876693726,6073.0205078125,15,0.013916015625
81920,32.35,5,500.0,2369,34,-0.00022471323754871264,0.0015287019,0.1,0.0005,44393.776136016844,-0.686340635921806,0.1783868670463562,6309.52490234375,20,0.04775390625
98304,33.65,6,500.0,2320,42,-0.00043883947219001127,0.0010730459,0.1,0.0005,74153.77812423705,-0.6858785417396576,0.18672388792037964,5564.140625,25,0.02032470703125
114688,31.14,7,500.0,2289,50,-0.0005122331844177097,0.0011877876,0.1,0.0005,51286.64506378174,-0.684833278413862,0.27569472789764404,6460.32421875,30,0.035791015625
131072,28.59,8,500.0,2255,58,-0.00041487728030915606,0.0011365784,0.1,0.0005,100267.00277404785,-0.6809830541256815,0.27467596530914307,6368.88427734375,35,0.0223876953125
147456,27.46,9,500.0,2237,65,-2.0076779946975876e-05,0.001288489,0.1,0.0005,121274.35393981934,-0.6819227438420057,0.30262404680252075,11454.87109375,40,0.02469482421875
163840,27.44,10,500.0,2216,73,4.749511444970267e-05,0.0014005124,0.1,0.0005,53868.67483177185,-0.6828363998793066,0.40048474073410034,7007.48291015625,45,0.0424560546875
180224,30.95,11,500.0,2208,81,-0.00028199129483255094,0.0013063486,0.1,0.0005,9206.34816160202,-0.6833901685662568,0.7548519819974899,891.9781494140625,50,0.049560546875
196608,33.87,12,500.0,2202,89,-0.0008124395604681922,0.0019102395,0.1,0.0005,6252.463175389171,-0.679032803233713,0.8110602796077728,284.5106506347656,55,0.07440185546875
