time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss
16384,5403,3,500.0,29.75,1,,,,,,,,,,
32768,3322,9,500.0,32.265625,2,0.0012725154,0.0005,0.1,-0.6919867321848869,-0.003327488899230957,0.02952880859375,-0.00021394829327618935,5,18728.84118385315,684.7460327148438
49152,2838,17,500.0,35.1875,3,0.0016104775,0.0005,0.1,-0.6908820322249085,0.0234258770942688,0.06209716796875,-0.0011686287843986065,10,3033.3815879106523,208.8663330078125
65536,2687,24,500.0,42.41,4,0.0026309711,0.0005,0.1,-0.6848365079145878,0.2728079557418823,0.10546875,-0.0021264085324219197,15,3135.9138240635393,206.88705444335938
81920,2591,31,500.0,48.77,5,0.0034913504,0.0005,0.1,-0.6762566426303238,0.887402281165123,0.223095703125,-0.011058605468315363,20,39.61804803311825,2.1348934173583984
98304,2566,38,500.0,49.87,6,0.0033039711,0.0005,0.1,-0.6692512796726078,0.932019554078579,0.20120849609375,-0.010872706847840164,25,22.883675952255725,1.8858052492141724
114688,2550,44,500.0,50.31,7,0.0029625674,0.0005,0.1,-0.662624149909243,0.9454341270029545,0.1802978515625,-0.009265682214390836,30,15.084593426808715,1.4423136711120605
131072,2537,51,500.0,52.83,8,0.0036893245,0.0005,0.1,-0.6543395163025707,0.9660969004034996,0.20084228515625,-0.011012995753844734,35,9.736250193044544,0.7413042783737183
147456,2531,58,500.0,65.9,9,0.0043014125,0.0005,0.1,-0.6420522086322308,0.9775653909891844,0.2010986328125,-0.010955425587235368,40,7.862410488538444,0.4217383563518524
163840,2517,65,500.0,85.37,10,0.004650167,0.0005,0.1,-0.6299814934842288,0.9830587916076183,0.2167724609375,-0.009058175269819913,45,6.095931840781122,0.5368613004684448
180224,2511,71,500.0,126.96,11,0.0050432696,0.0005,0.1,-0.6187013923656195,0.9891869304701686,0.242041015625,-0.009119167632161407,50,4.4660273872315885,0.30057600140571594
196608,2508,78,500.0,165.28,12,0.005555016,0.0005,0.1,-0.5997035061474889,0.9890111172571778,0.2429931640625,-0.00802512562713673,55,4.768983369041234,0.36800676584243774
212992,2499,85,500.0,218.0,13,0.004891742,0.0005,0.1,-0.5936259909067303,0.9915497088804841,0.2493896484375,-0.007796574619715102,60,3.1696266626939176,0.4115990698337555
229376,2495,91,500.0,278.13,14,0.005781826,0.0005,0.1,-0.5785396651364862,0.9942963249050081,0.2572998046875,-0.007282863409454876,65,1.7248497071908786,0.317351371049881
245760,2494,98,500.0,321.75,15,0.004299406,0.0005,0.1,-0.5620200782315805,0.9945713724009693,0.226513671875,-0.007071352030106936,70,1.382353535341099,0.15348200500011444
262144,2491,105,500.0,379.58,16,0.0047025224,0.0005,0.1,-0.5446614136220888,0.9914232157170773,0.19617919921875,-0.003989255049782514,75,1.2449270055862143,0.23272763192653656
278528,2487,111,500.0,425.02,17,0.005374647,0.0005,0.1,-0.48566612442955376,0.9914126098155975,0.1945068359375,-0.004617949333623983,80,0.8679341877344996,0.05311425402760506
294912,2486,118,500.0,472.27,18,0.0044520088,0.0005,0.1,-0.44468392874114215,0.9908983632922173,0.140380859375,-0.0034307867510506183,85,0.6521971196983941,0.04726717621088028
311296,2485,125,500.0,493.45,19,0.0043754578,0.0005,0.1,-0.39965689985547215,0.9892081143334508,0.127587890625,-0.0035532072946807603,90,0.5401738461921923,0.09990238398313522
327680,2480,132,500.0,499.08,20,0.0032385392,0.0005,0.1,-0.37886382644064726,0.9862559381872416,0.12432861328125,-0.0030980347481090577,95,0.49375896485871634,0.04446333646774292
344064,2478,138,500.0,500.0,21,0.00309753,0.0005,0.1,-0.3681118045467883,0.9812958892434835,0.1173095703125,-0.002069246085920895,100,0.5625782591232564,0.00916704535484314
360448,2477,145,500.0,500.0,22,0.003190643,0.0005,0.1,-0.34004635175224396,0.984130447730422,0.09351806640625,-0.0007241270383019583,105,0.5259238549653673,0.030362816527485847
376832,2477,152,500.0,500.0,23,0.0032092894,0.0005,0.1,-0.3285991406068206,0.9864218598231673,0.1296142578125,-0.0022296907659438148,110,0.4362203109805705,0.013859055936336517
