time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/clip_range
26,500.0,238,425984,1784,453.32,125,0.0005,0.1781769297816936,-0.3556707844603807,0.024281777441501617,0.8475553840398788,0.00038154490812303266,0.0011789326,0.05797119140625,0.1
27,500.0,247,442368,1786,457.01,130,0.0005,0.251276305654028,-0.35232659492176027,0.00875169038772583,0.8408548086881638,0.0004584388107105042,0.0015906263,0.0644287109375,0.1
28,500.0,256,458752,1790,456.02,135,0.0005,0.21380998234526488,-0.33865940051618965,0.045078814029693604,0.8345865160226822,0.00048826763404576925,0.0021481237,0.06666259765625,0.1
29,500.0,264,475136,1794,457.16,140,0.0005,0.21435165759467054,-0.31075180291663856,0.04214077442884445,0.8344495743513107,0.0004003836731953925,0.0017834896,0.06451416015625,0.1
30,500.0,273,491520,1794,469.43,145,0.0005,0.2395705480081233,-0.30953070579562336,0.002653624629601836,0.8357124030590057,0.000366855782976927,0.0011242172,0.05540771484375,0.1
31,500.0,282,507904,1796,475.05,150,0.0005,0.17159675944167246,-0.2852196685736999,0.004419947043061256,0.837188795208931,0.00028561428589455316,0.0020904457,0.06778564453125,0.1
32,500.0,291,524288,1798,476.06,155,0.0005,0.20069833391098654,-0.2868967985152267,0.013014144264161587,0.8052297830581665,0.0007316586733395525,0.001500124,0.05172119140625,0.1
33,500.0,300,540672,1797,474.9,160,0.0005,0.25975435774562355,-0.2794986146269366,0.018081234768033028,0.796419695019722,0.0008825546544358076,0.0015885923,0.05665283203125,0.1
34,500.0,310,557056,1795,475.89,165,0.0005,0.17957551291256096,-0.26561084255808964,0.02846030704677105,0.8202009350061417,0.0006562351651155041,0.0014117131,0.0608642578125,0.1
35,500.0,318,573440,1800,480.89,170,0.0005,0.20891586910765908,-0.25699081565253434,0.07493261992931366,0.8138509392738342,0.00039657590277784036,0.0010476261,0.04925537109375,0.1
36,500.0,328,589824,1798,483.01,175,0.0005,0.18606294760029413,-0.25148157321382314,0.023875312879681587,0.8147051185369492,0.0006847857461252715,0.0010353588,0.0641845703125,0.1
37,500.0,336,606208,1799,489.02,180,0.0005,0.17608105354702275,-0.24478786588879303,0.01390867494046688,0.807353064417839,0.0009070317079931556,0.0012474483,0.061328125,0.1
38,500.0,345,622592,1803,492.43,185,0.0005,0.15942570633378636,-0.2341352846589871,0.007009506691247225,0.8077923357486725,0.0008429153741644768,0.0009247662,0.0377197265625,0.1
39,500.0,353,638976,1807,495.07,190,0.0005,0.1849647740033106,-0.23249108252930456,0.011940027587115765,0.8088125139474869,0.0008208770851069857,0.00090045854,0.040185546875,0.1
40,500.0,362,655360,1809,496.86,195,0.0005,0.17412726807306173,-0.23692912820843048,0.017140846699476242,0.7953000068664551,0.0005356101284633042,0.0007534678,0.0440185546875,0.1
41,500.0,370,671744,1812,499.17,200,0.0005,0.14603103907684273,-0.24256618618965148,0.006632616743445396,0.8072007894515991,0.0009517817095002102,0.00076165167,0.04915771484375,0.1
42,500.0,379,688128,1811,500.0,205,0.0005,0.1637900759364129,-0.23807509378530084,0.039411354809999466,0.8075824528932571,0.0011067650061704626,0.0015435223,0.05472412109375,0.1
43,500.0,388,704512,1812,500.0,210,0.0005,0.239496044495354,-0.2389721847139299,0.0027506942860782146,0.8028973639011383,0.0010680815179966885,0.00109998,0.069970703125,0.1
