time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss
3,4990,500.0,1,16384,29.75,,,,,,,,,,
11,2848,500.0,2,32768,33.4375,0.058935546875,0.01818406581878662,-0.0005564295768635929,0.0017198445,23.731298446655273,0.1,5,874.4332696676254,0.0005,-0.6915265263989567
19,2481,500.0,3,49152,37.3125,0.05257568359375,0.19200003147125244,-0.0006970520733375451,0.0013745014,18.08285903930664,0.1,10,333.73334784805775,0.0005,-0.68934072740376
27,2348,500.0,4,65536,41.19,0.10689697265625,0.7485966086387634,-0.0024888212561563704,0.0023119282,9.831278800964355,0.1,15,121.05426183268428,0.0005,-0.6851066106464714
35,2277,500.0,5,81920,44.67,0.144091796875,0.8642696142196655,-0.005155976118658145,0.0027949899,1.838851809501648,0.1,20,61.322609232366084,0.0005,-0.679040256747976
44,2212,500.0,6,98304,43.09,0.177880859375,0.9031428396701813,-0.006523851665679104,0.0034480533,8.321771621704102,0.1,25,50.6169147208333,0.0005,-0.6688836259767413
52,2182,500.0,7,114688,48.28,0.1908935546875,0.9602688737213612,-0.009673982570348016,0.003896064,1.1937729120254517,0.1,30,11.890070918202401,0.0005,-0.6588477910030633
60,2161,500.0,8,131072,58.13,0.216455078125,0.9706433862447739,-0.010831759811480879,0.0050353003,0.6343974471092224,0.1,35,10.890496930852532,0.0005,-0.6360951571725308
68,2145,500.0,9,147456,90.68,0.2287841796875,0.976689925417304,-0.010559641717918566,0.0054487423,0.6503685712814331,0.1,40,9.983749922551215,0.0005,-0.6143919877242296
79,2073,500.0,10,163840,112.93,0.27330322265625,0.9874939387664199,-0.008834221025790612,0.0075094895,0.5549237132072449,0.1,45,5.305422098934651,0.0005,-0.5956267424393445
88,2043,500.0,11,180224,143.64,0.31473388671875,0.9896710021421313,-0.0069246985302015675,0.0074162595,0.479878693819046,0.1,50,4.124432107806205,0.0005,-0.5839413142763078
96,2038,500.0,12,196608,147.79,0.3000244140625,0.9842232577502728,-0.002973392874810088,0.0062380424,0.02621963806450367,0.1,55,2.4339819540036842,0.0005,-0.5600222851149738
105,2021,500.0,13,212992,152.93,0.26600341796875,0.9867225587368011,-0.0048784674096168604,0.006819743,0.04300830885767937,0.1,60,1.2126978627056815,0.0005,-0.5528756110463291
113,2018,500.0,14,229376,156.0,0.28837890625,0.9799969028681517,-0.0037300473325558416,0.0059742993,0.1037602573633194,0.1,65,0.8245212722104043,0.0005,-0.5390075766015798
121,2017,500.0,15,245760,156.06,0.22159423828125,0.9550223238766193,-0.002449886999420414,0.005843917,0.004767420701682568,0.1,70,0.5234414342790842,0.0005,-0.522298663458787
129,2016,500.0,16,262144,158.73,0.25494384765625,0.9617905728518963,-0.002360776351451932,0.0063446695,0.029900234192609787,0.1,75,0.4492498114181217,0.0005,-0.5240892509231344
138,2014,500.0,17,278528,162.89,0.1490478515625,0.9283112734556198,-0.0007803459313436179,0.0028887284,-0.004377611912786961,0.1,80,0.27547406861122,0.0005,-0.5023029015399516
146,2014,500.0,18,294912,167.89,0.16044921875,0.9101429209113121,-0.0017405684547156853,0.0043418305,0.025421181693673134,0.1,85,0.1981247059709858,0.0005,-0.4776882210280746
