rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl
30.125,5398,500.0,3,1,16384,,,,,,,,,,
35.890625,3054,500.0,10,2,32768,0.0005,5,-0.6919430545065552,3812.61962890625,0.1,33017.22211952209,-0.0036128759384155273,-0.0002755386654825998,0.02623291015625,0.0012246311
39.9375,2646,500.0,18,3,49152,0.0005,10,-0.6913465173915029,7675.169921875,0.1,68753.57588768005,0.018645882606506348,-0.0018184843353083124,0.077392578125,0.002188242
45.83,2414,500.0,27,4,65536,0.0005,15,-0.6888892643153668,205.44619750976562,0.1,3809.6279338121412,0.2858784794807434,-0.00184801934119605,0.08135986328125,0.0021144832
46.97,2300,500.0,35,5,81920,0.0005,20,-0.6849727536551654,256.0877380371094,0.1,3911.4131957769396,0.39792513847351074,-0.002302704195244587,0.11468505859375,0.0021926959
48.45,2219,500.0,44,6,98304,0.0005,25,-0.6724974152166396,23.17926597595215,0.1,165.18214788585902,0.8811478465795517,-0.011945730178467784,0.2802490234375,0.0041086143
46.36,2193,500.0,52,7,114688,0.0005,30,-0.661921730171889,4.784688949584961,0.1,65.67207745313644,0.9192178919911385,-0.014603450811409856,0.29100341796875,0.00441234
46.34,2190,500.0,59,8,131072,0.0005,35,-0.651904459996149,1.928851842880249,0.1,19.315958102419973,0.9588323347270489,-0.016606547758783563,0.28653564453125,0.0045882855
44.78,2184,500.0,67,9,147456,0.0005,40,-0.633149545500055,1.2895125150680542,0.1,12.549091095104814,0.9773206915706396,-0.013568176952321664,0.25517578125,0.0049467385
44.57,2177,500.0,75,10,163840,0.0005,45,-0.6109221309889108,0.6203999519348145,0.1,7.037982501462102,0.9832099303603172,-0.012937119584239553,0.24371337890625,0.0051316675
43.46,2155,500.0,83,11,180224,0.0005,50,-0.5825490633491427,0.5298009514808655,0.1,5.013169763609767,0.9873850233852863,-0.012087141228766996,0.2430419921875,0.00649192
40.59,2133,500.0,92,12,196608,0.0005,55,-0.5598342983983458,0.42505770921707153,0.1,3.2726006975397466,0.9899398991838098,-0.010366594550578156,0.25257568359375,0.006406703
38.66,2128,500.0,100,13,212992,0.0005,60,-0.5347064931644127,0.17270919680595398,0.1,1.859376250486821,0.9942245278507471,-0.009065559389273403,0.2710205078125,0.0066634975
