rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
33.6875,500.0,4867,1,16384,3,,,,,,,,,,
34.84375,500.0,2871,2,32768,11,0.00252738,15.477338790893555,406.49545979499817,0.11309814453125,5,0.1,-0.01194298267364502,0.0005,-0.0027079274083007475,-0.6908661083783955
35.322916666666664,500.0,2448,3,49152,20,0.0018187732,5.618474960327148,133.49641369730233,0.07095947265625,10,0.1,0.15682858228683472,0.0005,-0.0011379516681699897,-0.687113430397585
37.06,500.0,2290,4,65536,28,0.0023353007,22.812467575073242,105.6953401774168,0.09835205078125,15,0.1,0.7108913660049438,0.0005,-0.002387788716805517,-0.6842860731761903
45.3,500.0,2218,5,81920,36,0.0028120643,2.857334613800049,47.429638259857896,0.14549560546875,20,0.1,0.8633044511079788,0.0005,-0.00410825054950692,-0.6736440923064947
56.06,500.0,2171,6,98304,45,0.0036034945,0.5703628659248352,10.575940648466348,0.19384765625,25,0.1,0.9564876705408096,0.0005,-0.009757239693317387,-0.6596796028316021
78.91,500.0,2153,7,114688,53,0.0040554963,0.49157869815826416,6.882663285173476,0.2068359375,30,0.1,0.9724731799215078,0.0005,-0.012142554171805386,-0.6414220334962011
112.67,500.0,2132,8,131072,61,0.005191966,0.5820888876914978,5.528376179374755,0.2443359375,35,0.1,0.9827614352107048,0.0005,-0.014011244931680267,-0.6280488641466946
183.79,500.0,2105,9,147456,70,0.0062541543,0.28751903772354126,3.726319409161806,0.268701171875,40,0.1,0.9899767646566033,0.0005,-0.013003703574941027,-0.6059480248484761
281.86,500.0,2097,10,163840,78,0.010227045,0.07618459314107895,1.5182703331811354,0.33115234375,45,0.1,0.9934317725710571,0.0005,-0.013507490943993616,-0.5605374010512605
409.9,500.0,2089,11,180224,86,0.01093632,0.008612826466560364,0.2385523944423767,0.276611328125,50,0.1,0.9901732802391052,0.0005,-0.011867789440111664,-0.5072369708912448
471.17,500.0,2094,12,196608,93,0.007259107,-0.007609986700117588,0.13335460979433264,0.21329345703125,55,0.1,0.9784501940011978,0.0005,-0.010460894248535624,-0.47957151038572193
