time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/entropy_loss
32,10.13,280,500.0,1869,524288,7.715549e-05,-3.9943231058714446e-05,0.0005,155,0.1,0.00211181640625,0.17783553898334503,0.9991414790274575,1.9018703638605075,-0.027777322250403812
33,10.15,289,500.0,1865,540672,9.088166e-05,-3.8724192563677204e-08,0.0005,160,0.1,0.00504150390625,0.09961523115634918,0.9992567678564228,2.6351546192367095,-0.030178676826653827
34,10.08,298,500.0,1865,557056,0.00014232617,-8.230546632148616e-05,0.0005,165,0.1,0.0054931640625,0.06109822914004326,0.9992851575370878,2.316329954523826,-0.023832795705902753
35,10.01,307,500.0,1862,573440,7.734502e-05,-1.9878112243532087e-05,0.0005,170,0.1,0.00457763671875,0.06452326476573944,0.9994496912695467,2.5279986276174897,-0.02379624463148957
36,9.67,317,500.0,1859,589824,0.00025464487,0.000402625009564872,0.0005,175,0.1,0.0072265625,0.6735798120498657,0.9994439075817354,2.934871685662074,-0.0259916800557221
37,9.65,326,500.0,1859,606208,0.0008685863,-8.216044670916745e-05,0.0005,180,0.1,0.0172607421875,0.19901758432388306,0.9978593485429883,4.735012388695031,-0.041083064184203974
38,9.64,334,500.0,1862,622592,0.0001390077,-5.684980260411976e-06,0.0005,185,0.1,0.00311279296875,0.3570440709590912,0.9992044338723645,3.2602220000000672,-0.02306048976661259
39,9.74,342,500.0,1866,638976,0.00018256623,-1.0706489638323546e-05,0.0005,190,0.1,0.00247802734375,0.05517414212226868,0.9993824427947402,3.8936435529496523,-0.02196333813512865
40,9.68,350,500.0,1867,655360,0.00021557283,-6.71931084980315e-05,0.0005,195,0.1,0.00523681640625,0.376127690076828,0.9995523636171129,3.143757713981904,-0.017972423519972837
41,9.67,359,500.0,1868,671744,0.000118461554,6.38569843431469e-05,0.0005,200,0.1,0.004296875,0.14431747794151306,0.9993348503485322,3.45517830082681,-0.02543386277955051
42,9.59,367,500.0,1873,688128,0.00015939129,0.00020010460075354787,0.0005,205,0.1,0.00540771484375,1.6001827716827393,0.9993681741179898,3.7118075963808224,-0.027890602931074683
43,9.68,375,500.0,1877,704512,0.00031931183,0.00014364359449245968,0.0005,210,0.1,0.00616455078125,0.1701040416955948,0.9989888622658327,3.3206073734269013,-0.032063889148412274
44,9.63,382,500.0,1882,720896,0.0007890407,0.00032167449730877704,0.0005,215,0.1,0.00960693359375,0.7396863102912903,0.9993479633121751,3.648639815679053,-0.03020535496143566
45,9.66,390,500.0,1886,737280,0.0003616087,0.00021261914503156731,0.0005,220,0.1,0.00498046875,0.12785980105400085,0.9992549901362509,3.4867089570790997,-0.02454107585181191
46,9.51,398,500.0,1889,753664,0.000431331,0.0001665040847228738,0.0005,225,0.1,0.009619140625,0.39118191599845886,0.9995880891219713,2.7815719475504013,-0.02455692401581473
47,9.46,406,500.0,1893,770048,0.00017054747,0.00011144962736580055,0.0005,230,0.1,0.003955078125,0.11702053248882294,0.999220993835479,2.5861965417105237,-0.020677123775749352
48,9.41,414,500.0,1895,786432,0.00012777005,-0.00013344820499696652,0.0005,235,0.1,0.00584716796875,0.14801616966724396,0.999426887370646,3.1668978959787637,-0.019270935938220646
49,9.33,423,500.0,1896,802816,0.00025020313,0.00028004049563605803,0.0005,240,0.1,0.00797119140625,0.18253283202648163,0.999442660016939,3.3895420080050824,-0.021585764700466824
50,9.39,431,500.0,1898,819200,0.00020986711,-1.4935030458218535e-05,0.0005,245,0.1,0.00404052734375,0.07176943123340607,0.9991994039155543,4.684508239343995,-0.022287066296485136
51,9.52,439,500.0,1902,835584,0.00028561003,0.00016406000581810077,0.0005,250,0.1,0.00499267578125,0.4485703408718109,0.9994229821604677,3.9247685135982464,-0.023168573718157857
52,9.58,446,500.0,1906,851968,0.00019634645,3.533986077854934e-05,0.0005,255,0.1,0.0040771484375,0.0785183385014534,0.9992160251713358,3.908923081291141,-0.019446284425976047
53,9.58,454,500.0,1909,868352,0.00056653225,-4.66225135824061e-05,0.0005,260,0.1,0.00999755859375,1.9045344591140747,0.9992952384636737,4.226384028000757,-0.018392532754864986
54,9.44,462,500.0,1913,884736,0.0036477223,0.004991043084373814,0.0005,265,0.1,0.09549560546875,0.03045230358839035,0.9952457770705223,6.168976597115398,-0.08433733556048537
55,9.51,470,500.0,1916,901120,0.016681848,0.0011799178211731487,0.0005,270,0.1,0.0773681640625,0.18682311475276947,0.9731812998652458,11.85302520673722,-0.08778306772583164
56,9.35,477,500.0,1919,917504,0.004187623,0.0016985295626909646,0.0005,275,0.1,0.025390625,0.2795689105987549,0.9960964692290872,4.6425284163095055,-0.06277837709349114
57,9.42,485,500.0,1922,933888,0.0020870576,0.003036773321127839,0.0005,280,0.1,0.018359375,0.23888477683067322,0.998802893795073,3.862534446758218,-0.053047645108017606
58,9.4,493,500.0,1924,950272,0.0043267882,0.0025400621756489273,0.0005,285,0.1,0.032568359375,0.9088960886001587,0.9986863189842552,4.6467682857066395,-0.074093045675545
59,9.5,501,500.0,1927,966656,0.002660133,0.0016048606364165608,0.0005,290,0.1,0.0219970703125,0.07845289260149002,0.9985129134729505,3.285949782771058,-0.050722531694555074
60,9.58,509,500.0,1929,983040,0.0019920287,-0.0002359610626626818,0.0005,295,0.1,0.01439208984375,0.2126697450876236,0.9991422398015857,2.0597169001412112,-0.044936589225835634
61,9.62,517,500.0,1931,999424,0.002433268,0.0010793958643262158,0.0005,300,0.1,0.0134521484375,0.060422416776418686,0.9992365959915332,1.9681840707955416,-0.032663653601684925
62,9.62,525,500.0,1933,1015808,0.00014164351,0.00012462470131140434,0.0005,305,0.1,0.0035400390625,0.03512773662805557,0.999193821742665,2.3900881063600536,-0.020460753511179063
