time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate
1,3,16384,32.0625,5434,500.0,,,,,,,,,,
2,9,32768,33.390625,3350,500.0,0.10457763671875,0.03895735740661621,0.1,5,-0.6908618685323745,1.1883320808410645,0.0021859491,-0.0032376581246353455,50.049971701204775,0.0005
3,16,49152,33.572916666666664,2970,500.0,0.1846923828125,0.4193840026855469,0.1,10,-0.6835967139340937,1.0433019399642944,0.0032587037,-0.007009759084212419,10.431013962626457,0.0005
4,23,65536,35.1,2787,500.0,0.20467529296875,0.7284263670444489,0.1,15,-0.6711553517729044,0.42253488302230835,0.003632694,-0.009246762180919178,7.0452846806496385,0.0005
5,30,81920,36.56,2706,500.0,0.28154296875,0.8070853054523468,0.1,20,-0.6525193502195179,2.275059223175049,0.004779007,-0.010412236561387544,6.7298407720401885,0.0005
6,36,98304,38.14,2657,500.0,0.2811279296875,0.8735895156860352,0.1,25,-0.625594676984474,0.2571447491645813,0.0051144287,-0.011198080720896541,5.35953859090805,0.0005
7,43,114688,38.68,2618,500.0,0.301953125,0.905442588031292,0.1,30,-0.59381606252864,0.45104825496673584,0.0071927737,-0.009186239866085088,6.145692594908178,0.0005
8,50,131072,42.23,2594,500.0,0.29378662109375,0.92977125197649,0.1,35,-0.5590730236843229,0.3005557656288147,0.009569267,-0.006404258195289003,5.666825270559639,0.0005
9,57,147456,46.75,2573,500.0,0.21748046875,0.9546901769936085,0.1,40,-0.5462946855463088,0.7755098342895508,0.0085334955,-0.004576660883958539,5.973020086390898,0.0005
10,64,163840,54.48,2551,500.0,0.21787109375,0.9662887006998062,0.1,45,-0.5456051308428869,0.4423428773880005,0.0068738395,-0.000863113971263374,6.782020545820705,0.0005
11,72,180224,52.88,2501,500.0,0.2054443359375,0.974050322547555,0.1,50,-0.5587471302598714,0.16612283885478973,0.0052947355,0.00033419564888390594,5.153605400328525,0.0005
12,80,196608,49.07,2447,500.0,0.23951416015625,0.9684697315096855,0.1,55,-0.5765150289051235,0.2676951587200165,0.0051142666,-0.00018038931166302062,3.3486014312366024,0.0005
13,88,212992,40.66,2403,500.0,0.19139404296875,0.9680237546563148,0.1,60,-0.5539283082121983,0.241624116897583,0.0043004053,0.0005092380554742703,4.813746893114876,0.0005
14,96,229376,35.71,2384,500.0,0.23359375,0.9563589207828045,0.1,65,-0.553169270674698,0.12251987308263779,0.0045181415,0.0014517806722324166,4.86500100918347,0.0005
